Feature,SHAP,LIME,Permutation,Consensus,CI_Low,CI_High
Response Time(s),1.0,0.9505618751752601,0.9999999999937894,0.9939173882092476,0.9505618751752601,1.0
CWV_Composite,0.87973857,0.9999999999944285,0.7073684210482385,0.8189535358086133,0.7073684210482385,0.9999999999944285
fcp,0.82444155,0.8515534819147843,0.7663157894689252,0.8022901054164473,0.7663157894689252,0.8515534819147843
Total_Time,0.74956,0.6321387190169543,0.6392982456100647,0.6867651861679324,0.6321387190169543,0.7495599985122681
lcp,0.6462866,0.5985648474699504,0.3073684210507229,0.4918053055750604,0.3073684210507229,0.6462866067886353
performance_score,0.34401795,0.4574443641866178,0.12210526315713646,0.2606684116846281,0.12210526315713646,0.4574443641866178
tti,0.11656841,0.10270137429439215,0.026666666666501002,0.0754418950500953,0.026666666666501002,0.11656840890645981
tbt,0.10340215,0.12779470788682118,0.02596491228054041,0.07244837347000728,0.02596491228054041,0.12779470788682118
total_byte_weight,0.10864688,0.038348832941788216,0.01614035087709272,0.05943522951554061,0.01614035087709272,0.10864687711000443
speed_index,0.10530571,0.057097236309523874,0.0035087719298026675,0.054738161081178745,0.0035087719298026675,0.10530570894479752
num_requests,0.04153457,0.023405805537382002,0.02175438596477715,0.030630825574807043,0.02175438596477715,0.04153456911444664
Size_LoadTime_Ratio,0.019201923,0.07762332586448595,0.02736842105246152,0.029970661586862474,0.01920192316174507,0.07762332586448595
Category,0.002030038,0.1282858370599997,0.021754385964777086,0.026212691311666644,0.0020300380419939756,0.1282858370599997
Throughput_ResponseTime_Ratio,0.026814666,0.014596332503031152,0.018245614034974277,0.021554001538876384,0.014596332503031152,0.026814665645360947
Throughput,0.011840419,0.11021091109881795,0.005614035087684298,0.02121325325326861,0.005614035087684298,0.11021091109881795
TBT_TTI_Ratio,0.0244002,0.006067085426875257,0.015438596491132129,0.01821507770858126,0.006067085426875257,0.024400200694799423
cls,0.0031676616,0.03932155395158965,0.021052631578816563,0.015458105227394384,0.0031676616054028273,0.03932155395158965
Page Size (KB),0.01720854,0.00648567442879833,0.008421052631526585,0.012036090497182454,0.00648567442879833,0.017208540812134743
Bytes_Per_Request,0.005689115,0.004417495366419758,0.017543859649013827,0.010730765367943634,0.004417495366419758,0.017543859649013827
Log_Throughput,0.0,0.0010624035019624518,0.01614035087709251,0.0072079820875198,0.0,0.01614035087709251
Log_Page_Size,0.0,0.0,0.01614035087709251,0.007077269442418694,0.0,0.01614035087709251
Load Time(s),0.009035661,0.014987005341675498,0.0,0.00580589992501517,0.0,0.014987005341675498
