,fast,medium,slow,total
Category,0.0029810604,0.17729142,0.028778175,0.20905067
Page Size (KB),0.025270315,0.038759895,0.04769132,0.11172153
Load Time(s),0.013268644,0.065157704,0.06382055,0.1422469
Response Time(s),1.4684752,0.16460304,1.2872641,2.9203424
Throughput,0.017387362,0.17085922,0.114253186,0.30249977
performance_score,0.50518185,0.16685723,0.7115849,1.3836241
lcp,0.94905585,0.17224525,0.8675689,1.9888699
fcp,1.210672,0.2257169,1.4130505,2.8494396
cls,0.0046516326,0.12098336,0.0032164257,0.12885143
tti,0.17117782,0.04185891,0.31618318,0.5292199
tbt,0.1518435,0.05715814,0.25837415,0.46737581
speed_index,0.15463883,0.09460777,0.104712814,0.3539594
total_byte_weight,0.15954524,0.05950554,0.0410142,0.260065
num_requests,0.060992487,0.07784475,0.046013102,0.18485034
Size_LoadTime_Ratio,0.028197547,0.14796332,0.017572792,0.19373365
Total_Time,1.1007103,0.2568426,1.1418884,2.4994411
Throughput_ResponseTime_Ratio,0.039376672,0.05093892,0.053685553,0.14400116
Log_Page_Size,0.0,0.0,0.0,0.0
Log_Throughput,0.0,0.0,0.0,0.0
CWV_Composite,1.2918743,0.46187577,0.89776886,2.6515188
TBT_TTI_Ratio,0.03583109,0.06986508,0.09931842,0.20501459
Bytes_Per_Request,0.008354324,0.053126197,0.011452398,0.07293292
