Feature,SHAP (Global),LIME (Local),Combined Score
Response Time(s),1.4684752,0.0661240779351396,0.76729965
fcp,1.210672,0.10164748504086091,0.65615976
lcp,0.94905585,0.21256865281196238,0.5808123
performance_score,0.50518185,0.059674131788898625,0.282428
tti,0.17117782,0.019982748451189962,0.09558028
total_byte_weight,0.15954524,0.0,0.07977262
speed_index,0.15463883,0.0,0.07731941
tbt,0.1518435,0.0,0.07592175
num_requests,0.060992487,0.0,0.030496243
Category,0.0029810604,0.02426874026279644,0.013624901
Page Size (KB),0.025270315,0.0,0.012635157
Throughput,0.017387362,0.0,0.008693681
Load Time(s),0.013268644,0.0,0.006634322
cls,0.0046516326,0.0,0.0023258163
